vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,627.0,15.0,9.0,0.01,0.0,0.0
2020-12-31,677.0,16.0,9.0,0.01,0.0,0.0
2021-01-01,719.0,16.0,9.0,0.01,0.0,0.0
2021-01-02,762.0,16.0,9.0,0.01,0.0,0.0
2021-01-03,811.0,16.0,9.0,0.01,0.0,0.0
2021-01-04,911.0,16.0,9.0,0.02,0.0,0.0
2021-01-05,999.0,20.0,9.0,0.02,0.0,0.0
2021-01-06,1129.0,23.0,9.0,0.02,0.0,0.0
2021-01-07,1253.0,27.0,9.0,0.02,0.0,0.0
2021-01-08,2107.0,38.0,9.0,0.04,0.0,0.0
2021-01-09,2568.0,44.0,9.0,0.04,0.0,0.0
2021-01-10,2795.0,48.0,9.0,0.05,0.0,0.0
2021-01-11,4954.0,52.0,9.0,0.08,0.0,0.0
2021-01-12,7845.0,65.0,9.0,0.13,0.0,0.0
2021-01-13,11949.0,80.0,9.0,0.2,0.0,0.0
2021-01-14,16726.0,94.0,9.0,0.29,0.0,0.0
2021-01-15,22059.0,107.0,9.0,0.38,0.0,0.0
2021-01-16,23832.0,120.0,9.0,0.41,0.0,0.0
2021-01-17,24546.0,131.0,9.0,0.42,0.0,0.0
2021-01-18,32014.0,166.0,9.0,0.55,0.0,0.0
2021-01-19,40135.0,220.0,9.0,0.68,0.0,0.0
2021-01-20,49176.0,330.0,9.0,0.84,0.01,0.0
2021-01-21,56806.0,398.0,9.0,0.97,0.01,0.0
2021-01-22,64502.0,437.0,9.0,1.1,0.01,0.0
2021-01-23,69235.0,465.0,9.0,1.18,0.01,0.0
2021-01-24,73691.0,544.0,9.0,1.26,0.01,0.0
2021-01-25,85528.0,617.0,9.0,1.46,0.01,0.0
2021-01-26,97967.0,710.0,9.0,1.67,0.01,0.0
2021-01-27,111627.0,751.0,9.0,1.9,0.01,0.0
2021-01-28,125972.0,821.0,9.0,2.15,0.01,0.0
2021-01-29,139777.0,1560.0,9.0,2.38,0.03,0.0
2021-01-30,146873.0,1961.0,9.0,2.5,0.03,0.0
2021-01-31,152404.0,2181.0,9.0,2.6,0.04,0.0
2021-02-01,161402.0,4276.0,9.0,2.75,0.07,0.0
2021-02-02,170924.0,6754.0,9.0,2.91,0.12,0.0
2021-02-03,182185.0,10432.0,9.0,3.1,0.18,0.0
2021-02-04,190827.0,14789.0,9.0,3.25,0.25,0.0
2021-02-05,200145.0,20007.0,9.0,3.41,0.34,0.0
2021-02-06,204480.0,21653.0,9.0,3.48,0.37,0.0
2021-02-07,206785.0,22371.0,9.0,3.52,0.38,0.0
2021-02-08,210812.0,29775.0,9.0,3.59,0.51,0.0
2021-02-09,214456.0,37858.0,9.0,3.65,0.65,0.0
2021-02-10,217524.0,46732.0,9.0,3.71,0.8,0.0
2021-02-11,218966.0,49649.0,9.0,3.73,0.85,0.0
2021-02-12,219068.0,49678.0,9.0,3.73,0.85,0.0
2021-02-13,219176.0,49703.0,9.0,3.74,0.85,0.0
2021-02-14,219752.0,53558.0,9.0,3.75,0.91,0.0
2021-02-15,220972.0,64259.0,9.0,3.77,1.1,0.0
2021-02-16,223286.0,77975.0,9.0,3.81,1.33,0.0
2021-02-17,226712.0,93402.0,9.0,3.86,1.59,0.0
2021-02-18,231010.0,107614.0,9.0,3.94,1.83,0.0
2021-02-19,236745.0,121781.0,9.0,4.03,2.08,0.0
2021-02-20,240632.0,129291.0,9.0,4.1,2.2,0.0
2021-02-21,242698.0,135171.0,9.0,4.14,2.3,0.0
2021-02-22,248962.0,146667.0,9.0,4.24,2.5,0.0
2021-02-23,257089.0,158288.0,9.0,4.38,2.7,0.0
2021-02-24,264801.0,169878.0,9.0,4.51,2.9,0.0
2021-02-25,273484.0,179766.0,9.0,4.66,3.06,0.0
2021-02-26,283493.0,190409.0,9.0,4.83,3.24,0.0
2021-02-27,291888.0,195850.0,9.0,4.97,3.34,0.0
2021-02-28,298055.0,198400.0,9.0,5.08,3.38,0.0
2021-03-01,307819.0,201774.0,9.0,5.25,3.44,0.0
2021-03-02,317866.0,205178.0,9.0,5.42,3.5,0.0
2021-03-03,329145.0,207960.0,9.0,5.61,3.54,0.0
2021-03-04,341550.0,209785.0,9.0,5.82,3.58,0.0
2021-03-05,355326.0,210755.0,9.0,6.06,3.59,0.0
2021-03-06,364267.0,211436.0,9.0,6.21,3.6,0.0
2021-03-07,369102.0,211880.0,9.0,6.29,3.61,0.0
2021-03-08,382868.0,213369.0,9.0,6.52,3.64,0.0
2021-03-09,399705.0,215282.0,9.0,6.81,3.67,0.0
2021-03-10,418669.0,218065.0,9.0,7.14,3.72,0.0
2021-03-11,440824.0,221428.0,9.0,7.51,3.77,0.0
2021-03-12,465640.0,226296.0,9.0,7.94,3.86,0.0
2021-03-13,489226.0,229740.0,9.0,8.34,3.92,0.0
2021-03-14,509244.0,231520.0,9.0,8.68,3.95,0.0
2021-03-15,536831.0,237382.0,9.0,9.15,4.05,0.0
2021-03-16,565848.0,244443.0,9.0,9.64,4.17,0.0
2021-03-17,598856.0,251978.0,9.0,10.21,4.29,0.0
2021-03-18,631797.0,259609.0,10.0,10.77,4.42,0.0
2021-03-19,668182.0,269059.0,10.0,11.39,4.59,0.0
2021-03-20,698217.0,277307.0,10.0,11.9,4.73,0.0
2021-03-21,725417.0,282889.0,10.0,12.36,4.82,0.0
2021-03-22,756019.0,292753.0,10.0,12.88,4.99,0.0
2021-03-23,784157.0,302375.0,10.0,13.36,5.15,0.0
2021-03-24,807911.0,312880.0,10.0,13.77,5.33,0.0
2021-03-25,829188.0,324842.0,10.0,14.13,5.54,0.0
2021-03-26,852328.0,338866.0,10.0,14.53,5.78,0.0
2021-03-27,875471.0,347405.0,10.0,14.92,5.92,0.0
2021-03-28,892117.0,352253.0,10.0,15.2,6.0,0.0
2021-03-29,926575.0,365060.0,10.0,15.79,6.22,0.0
2021-03-30,953770.0,380613.0,10.0,16.25,6.49,0.0
2021-03-31,976823.0,398972.0,10.0,16.65,6.8,0.0
2021-04-01,999759.0,418114.0,10.0,17.04,7.13,0.0
2021-04-02,1018461.0,434311.0,10.0,17.36,7.4,0.0
2021-04-03,1037920.0,456012.0,10.0,17.69,7.77,0.0
2021-04-04,1054280.0,472435.0,10.0,17.97,8.05,0.0
2021-04-05,1082080.0,497449.0,10.0,18.44,8.48,0.0
2021-04-06,1108970.0,522423.0,10.0,18.9,8.9,0.0
2021-04-07,1133894.0,550146.0,10.0,19.32,9.38,0.0
2021-04-08,1157101.0,579130.0,10.0,19.72,9.87,0.0
2021-04-09,1177942.0,614885.0,10.0,20.07,10.48,0.0
2021-04-10,1195912.0,646785.0,10.0,20.38,11.02,0.0
2021-04-11,1215380.0,672268.0,10.0,20.71,11.46,0.0
2021-04-12,1232521.0,701020.0,10.0,21.0,11.95,0.0
2021-04-13,1250957.0,724792.0,10.0,21.32,12.35,0.0
2021-04-14,1270649.0,745410.0,10.0,21.65,12.7,0.0
2021-04-15,1289160.0,766080.0,10.0,21.97,13.06,0.0
2021-04-16,1309216.0,789832.0,10.0,22.31,13.46,0.0
2021-04-17,1325436.0,811965.0,10.0,22.59,13.84,0.0
2021-04-18,1339948.0,827513.0,10.0,22.84,14.1,0.0
2021-04-19,1356940.0,858040.0,10.0,23.13,14.62,0.0
2021-04-20,1378691.0,882237.0,10.0,23.5,15.04,0.0
2021-04-21,1403794.0,902595.0,10.0,23.92,15.38,0.0
2021-04-22,1428714.0,922120.0,10.0,24.35,15.71,0.0
2021-04-23,1453164.0,943780.0,11.0,24.77,16.08,0.0
2021-04-24,1471808.0,968268.0,11.0,25.08,16.5,0.0
2021-04-25,1491626.0,986717.0,11.0,25.42,16.82,0.0
2021-04-26,1510809.0,1013021.0,11.0,25.75,17.26,0.0
2021-04-27,1532251.0,1037966.0,11.0,26.11,17.69,0.0
2021-04-28,1554595.0,1059711.0,11.0,26.49,18.06,0.0
2021-04-29,1580594.0,1079310.0,11.0,26.94,18.39,0.0
2021-04-30,1604725.0,1102231.0,11.0,27.35,18.78,0.0
2021-05-01,1628315.0,1115756.0,11.0,27.75,19.01,0.0
2021-05-02,1648387.0,1132308.0,11.0,28.09,19.3,0.0
2021-05-03,1669805.0,1144313.0,11.0,28.46,19.5,0.0
2021-05-04,1691855.0,1156431.0,11.0,28.83,19.71,0.0
2021-05-05,1712884.0,1170965.0,11.0,29.19,19.96,0.0
2021-05-06,1737455.0,1184263.0,11.0,29.61,20.18,0.0
2021-05-07,1760315.0,1201147.0,11.0,30.0,20.47,0.0
2021-05-08,1779231.0,1217050.0,11.0,30.32,20.74,0.0
2021-05-09,1797156.0,1230551.0,11.0,30.63,20.97,0.0
2021-05-10,1826586.0,1248007.0,11.0,31.13,21.27,0.0
2021-05-11,1853597.0,1268796.0,12.0,31.59,21.62,0.0
2021-05-12,1864959.0,1288216.0,12.0,31.78,21.95,0.0
2021-05-13,1866232.0,1288583.0,13.0,31.8,21.96,0.0
2021-05-14,1883228.0,1327948.0,13.0,32.09,22.63,0.0
2021-05-15,1905555.0,1353762.0,15.0,32.47,23.07,0.0
2021-05-16,1925658.0,1376907.0,15.0,32.82,23.47,0.0
2021-05-17,1942750.0,1399872.0,15.0,33.11,23.86,0.0
2021-05-18,1961540.0,1421610.0,15.0,33.43,24.23,0.0
2021-05-19,1980421.0,1443318.0,15.0,33.75,24.6,0.0
2021-05-20,2004587.0,1466139.0,15.0,34.16,24.99,0.0
2021-05-21,2026142.0,1493807.0,16.0,34.53,25.46,0.0
2021-05-22,2043348.0,1524682.0,16.0,34.82,25.98,0.0
2021-05-23,2061074.0,1549735.0,16.0,35.13,26.41,0.0
2021-05-24,2088338.0,1570101.0,17.0,35.59,26.76,0.0
2021-05-25,2118679.0,1591070.0,17.0,36.11,27.12,0.0
2021-05-26,2145818.0,1605062.0,17.0,36.57,27.35,0.0
2021-05-27,2169930.0,1627211.0,17.0,36.98,27.73,0.0
2021-05-28,2196124.0,1650549.0,18.0,37.43,28.13,0.0
2021-05-29,2221105.0,1671156.0,18.0,37.85,28.48,0.0
2021-05-30,2241630.0,1688890.0,19.0,38.2,28.78,0.0
2021-05-31,2260313.0,1717902.0,19.0,38.52,29.28,0.0
2021-06-01,2286158.0,1738416.0,19.0,38.96,29.63,0.0
2021-06-02,2318794.0,1749328.0,19.0,39.52,29.81,0.0
2021-06-03,2364614.0,1758119.0,21.0,40.3,29.96,0.0
2021-06-04,2403700.0,1777377.0,21.0,40.96,30.29,0.0
2021-06-05,2432876.0,1800955.0,21.0,41.46,30.69,0.0
2021-06-06,2458444.0,1821306.0,22.0,41.9,31.04,0.0
2021-06-07,2484887.0,1836243.0,22.0,42.35,31.29,0.0
2021-06-08,2506630.0,1852151.0,22.0,42.72,31.56,0.0
2021-06-09,2534159.0,1867172.0,22.0,43.19,31.82,0.0
2021-06-10,2565736.0,1878808.0,22.0,43.73,32.02,0.0
2021-06-11,2596976.0,1897265.0,25.0,44.26,32.33,0.0
2021-06-12,2625264.0,1912920.0,25.0,44.74,32.6,0.0
2021-06-13,2652452.0,1925223.0,27.0,45.2,32.81,0.0
2021-06-14,2686199.0,1940265.0,27.0,45.78,33.07,0.0
2021-06-15,2723564.0,1955511.0,30.0,46.42,33.33,0.0
2021-06-16,2767106.0,1970016.0,36.0,47.16,33.57,0.0
2021-06-17,2809017.0,1983785.0,37.0,47.87,33.81,0.0
2021-06-18,2849305.0,2001113.0,40.0,48.56,34.1,0.0
2021-06-19,2888932.0,2017627.0,42.0,49.23,34.38,0.0
2021-06-20,2922604.0,2029503.0,44.0,49.81,34.59,0.0
2021-06-21,2966573.0,2041202.0,46.0,50.56,34.79,0.0
2021-06-22,3007271.0,2052819.0,48.0,51.25,34.98,0.0
2021-06-23,3048398.0,2063666.0,48.0,51.95,35.17,0.0
2021-06-24,3089145.0,2074045.0,51.0,52.65,35.35,0.0
2021-06-25,3129038.0,2085214.0,54.0,53.33,35.54,0.0
2021-06-26,3185258.0,2094764.0,54.0,54.28,35.7,0.0
2021-06-27,3234848.0,2101735.0,58.0,55.13,35.82,0.0
2021-06-28,3285670.0,2111542.0,59.0,56.0,35.99,0.0
2021-06-29,3324807.0,2120494.0,61.0,56.66,36.14,0.0
2021-06-30,3381606.0,2130933.0,67.0,57.63,36.32,0.0
2021-07-01,3443226.0,2148792.0,72.0,58.68,36.62,0.0
2021-07-02,3505835.0,2168169.0,74.0,59.75,36.95,0.0
2021-07-03,3566566.0,2185806.0,79.0,60.78,37.25,0.0
2021-07-04,3620906.0,2203261.0,83.0,61.71,37.55,0.0
2021-07-05,3680441.0,2219707.0,87.0,62.72,37.83,0.0
2021-07-06,3736975.0,2235403.0,90.0,63.69,38.1,0.0
2021-07-07,3793224.0,2252759.0,92.0,64.65,38.39,0.0
2021-07-08,3847703.0,2271394.0,92.0,65.57,38.71,0.0
2021-07-09,3899223.0,2297645.0,97.0,66.45,39.16,0.0
2021-07-10,3945098.0,2323661.0,98.0,67.23,39.6,0.0
2021-07-11,3982194.0,2351535.0,103.0,67.87,40.08,0.0
2021-07-12,4024869.0,2382607.0,103.0,68.59,40.6,0.0
2021-07-13,4056635.0,2415093.0,106.0,69.13,41.16,0.0
2021-07-14,4082275.0,2453935.0,107.0,69.57,41.82,0.0
2021-07-15,4105927.0,2497780.0,111.0,69.97,42.57,0.0
2021-07-16,4130307.0,2555774.0,113.0,70.39,43.56,0.0
2021-07-17,4150727.0,2612438.0,116.0,70.74,44.52,0.0
2021-07-18,4167974.0,2662269.0,118.0,71.03,45.37,0.0
2021-07-19,4182567.0,2692801.0,120.0,71.28,45.89,0.0
2021-07-20,4185142.0,2693698.0,125.0,71.32,45.91,0.0
2021-07-21,4205650.0,2746566.0,128.0,71.67,46.81,0.0
2021-07-22,4224463.0,2796959.0,132.0,71.99,47.67,0.0
2021-07-23,4242275.0,2859390.0,133.0,72.3,48.73,0.0
2021-07-24,4256891.0,2915437.0,137.0,72.55,49.69,0.0
2021-07-25,4270263.0,2962984.0,141.0,72.77,50.5,0.0
2021-07-26,4285432.0,3012755.0,141.0,73.03,51.34,0.0
2021-07-27,4300979.0,3048661.0,145.0,73.3,51.96,0.0
2021-07-28,4315353.0,3095089.0,149.0,73.54,52.75,0.0
2021-07-29,4329924.0,3144403.0,151.0,73.79,53.59,0.0
2021-07-30,4341985.0,3207218.0,152.0,74.0,54.66,0.0
2021-07-31,4352662.0,3267144.0,156.0,74.18,55.68,0.0
2021-08-01,4360738.0,3319453.0,158.0,74.32,56.57,0.0
2021-08-02,4371891.0,3373581.0,165.0,74.51,57.49,0.0
2021-08-03,4383261.0,3424059.0,171.0,74.7,58.35,0.0
2021-08-04,4393830.0,3476601.0,175.0,74.88,59.25,0.0
2021-08-05,4403999.0,3531993.0,181.0,75.05,60.19,0.0
2021-08-06,4414165.0,3595684.0,190.0,75.23,61.28,0.0
2021-08-07,4425511.0,3655374.0,199.0,75.42,62.3,0.0
2021-08-08,4435700.0,3705487.0,205.0,75.59,63.15,0.0
2021-08-09,4445736.0,3738459.0,220.0,75.77,63.71,0.0
2021-08-10,4458631.0,3774883.0,227.0,75.99,64.33,0.0
2021-08-11,4470692.0,3810781.0,237.0,76.19,64.94,0.0
2021-08-12,4481772.0,3845458.0,246.0,76.38,65.54,0.0
2021-08-13,4494348.0,3890062.0,254.0,76.59,66.3,0.0
2021-08-14,4506758.0,3933415.0,273.0,76.81,67.03,0.0
2021-08-15,4514982.0,3962593.0,286.0,76.95,67.53,0.0
2021-08-16,4525126.0,3981749.0,292.0,77.12,67.86,0.0
2021-08-17,4533993.0,3996928.0,298.0,77.27,68.12,0.01
2021-08-18,4542406.0,4012706.0,311.0,77.41,68.39,0.01
2021-08-19,4550135.0,4027122.0,324.0,77.54,68.63,0.01
2021-08-20,4559593.0,4045840.0,337.0,77.71,68.95,0.01
2021-08-21,4568247.0,4061291.0,361.0,77.85,69.21,0.01
2021-08-22,4573542.0,4069760.0,377.0,77.94,69.36,0.01
2021-08-23,4580112.0,4082688.0,411.0,78.06,69.58,0.01
2021-08-24,4586211.0,4093788.0,429.0,78.16,69.77,0.01
2021-08-25,4592720.0,4105110.0,451.0,78.27,69.96,0.01
2021-08-26,4598713.0,4115754.0,472.0,78.37,70.14,0.01
2021-08-27,4606189.0,4130558.0,494.0,78.5,70.39,0.01
2021-08-28,4612594.0,4144026.0,521.0,78.61,70.62,0.01
2021-08-29,4616393.0,4152400.0,537.0,78.67,70.77,0.01
2021-08-30,4622269.0,4161844.0,565.0,78.77,70.93,0.01
2021-08-31,4628218.0,4172926.0,594.0,78.88,71.12,0.01
2021-09-01,4634075.0,4182614.0,621.0,78.97,71.28,0.01
2021-09-02,4639676.0,4191766.0,644.0,79.07,71.44,0.01
2021-09-03,4645936.0,4205265.0,669.0,79.18,71.67,0.01
2021-09-04,4651336.0,4219280.0,695.0,79.27,71.91,0.01
2021-09-05,4655009.0,4228580.0,704.0,79.33,72.06,0.01
2021-09-06,4660235.0,4236615.0,736.0,79.42,72.2,0.01
2021-09-07,4665278.0,4243981.0,759.0,79.51,72.33,0.01
2021-09-08,4670317.0,4250892.0,791.0,79.59,72.44,0.01
2021-09-09,4674839.0,4257704.0,816.0,79.67,72.56,0.01
2021-09-10,4679078.0,4268738.0,838.0,79.74,72.75,0.01
2021-09-11,4682997.0,4279124.0,868.0,79.81,72.93,0.01
2021-09-12,4686797.0,4286994.0,974.0,79.87,73.06,0.02
2021-09-13,4690543.0,4293228.0,1006.0,79.94,73.17,0.02
2021-09-14,4694393.0,4299109.0,1207.0,80.0,73.27,0.02
2021-09-15,4698808.0,4304960.0,5965.0,80.08,73.37,0.1
2021-09-16,4703013.0,4310469.0,9116.0,80.15,73.46,0.16
2021-09-17,4708040.0,4318876.0,17405.0,80.24,73.6,0.3
2021-09-18,4711929.0,4326158.0,30444.0,80.3,73.73,0.52
2021-09-19,4714922.0,4331615.0,38567.0,80.35,73.82,0.66
2021-09-20,4718845.0,4337051.0,50465.0,80.42,73.91,0.86
2021-09-21,4722681.0,4341939.0,58687.0,80.49,74.0,1.0
2021-09-22,4726261.0,4347320.0,73966.0,80.55,74.09,1.26
2021-09-23,4730486.0,4351978.0,90894.0,80.62,74.17,1.55
2021-09-24,4734823.0,4358868.0,114365.0,80.69,74.28,1.95
2021-09-25,4738184.0,4365122.0,136136.0,80.75,74.39,2.32
2021-09-26,4741631.0,4371524.0,151529.0,80.81,74.5,2.58
2021-09-27,4745265.0,4376126.0,173721.0,80.87,74.58,2.96
2021-09-28,4749442.0,4380928.0,197895.0,80.94,74.66,3.37
2021-09-29,4753152.0,4385581.0,218044.0,81.0,74.74,3.72
2021-09-30,4756686.0,4390331.0,239197.0,81.06,74.82,4.08
2021-10-01,4759915.0,4394819.0,260452.0,81.12,74.9,4.44
2021-10-02,4762380.0,4398667.0,282161.0,81.16,74.96,4.81
2021-10-03,4764691.0,4402632.0,301022.0,81.2,75.03,5.13
2021-10-04,4767622.0,4405731.0,322966.0,81.25,75.08,5.5
2021-10-05,4771170.0,4409452.0,342967.0,81.31,75.15,5.84
2021-10-06,4774751.0,4412948.0,358670.0,81.37,75.21,6.11
2021-10-07,4778252.0,4416181.0,373352.0,81.43,75.26,6.36
2021-10-08,4782017.0,4420660.0,394247.0,81.5,75.34,6.72
2021-10-09,4785680.0,4424705.0,413453.0,81.56,75.41,7.05
2021-10-10,4789553.0,4429371.0,439753.0,81.62,75.49,7.49
2021-10-11,4794290.0,4432474.0,466193.0,81.71,75.54,7.94
2021-10-12,4798260.0,4435645.0,488742.0,81.77,75.59,8.33
2021-10-13,4801817.0,4438501.0,507936.0,81.83,75.64,8.66
2021-10-14,4805086.0,4441229.0,525513.0,81.89,75.69,8.96
2021-10-15,4808986.0,4444818.0,554429.0,81.96,75.75,9.45
2021-10-16,4812331.0,4448131.0,577183.0,82.01,75.81,9.84
2021-10-17,4814146.0,4449949.0,588453.0,82.04,75.84,10.03
2021-10-18,4817039.0,4453178.0,604579.0,82.09,75.89,10.3
2021-10-19,4819529.0,4455686.0,622280.0,82.14,75.93,10.61
2021-10-20,4821459.0,4458168.0,636931.0,82.17,75.98,10.85
2021-10-21,4823874.0,4461261.0,654365.0,82.21,76.03,11.15
2021-10-22,4826208.0,4464334.0,680217.0,82.25,76.08,11.59
2021-10-23,4828641.0,4469012.0,698711.0,82.29,76.16,11.91
2021-10-24,4830004.0,4470719.0,708431.0,82.31,76.19,12.07
2021-10-25,4832427.0,4473835.0,723563.0,82.36,76.24,12.33
2021-10-26,4834905.0,4477114.0,743680.0,82.4,76.3,12.67
2021-10-27,4837057.0,4480200.0,758640.0,82.43,76.35,12.93
2021-10-28,4839445.0,4483512.0,776709.0,82.47,76.41,13.24
2021-10-29,4841685.0,4487200.0,808399.0,82.51,76.47,13.78
2021-10-30,4844098.0,4492730.0,832617.0,82.55,76.57,14.19
2021-10-31,4845624.0,4495668.0,847368.0,82.58,76.62,14.44
2021-11-01,4847900.0,4499692.0,865410.0,82.62,76.68,14.75
2021-11-02,4849975.0,4503224.0,887621.0,82.65,76.75,15.13
2021-11-03,4851834.0,4506310.0,903289.0,82.69,76.8,15.39
2021-11-04,4852657.0,4507595.0,903812.0,82.7,76.82,15.4
2021-11-05,4855159.0,4512777.0,933339.0,82.74,76.91,15.91
2021-11-06,4857215.0,4517467.0,956619.0,82.78,76.99,16.3
2021-11-07,4858503.0,4519740.0,970863.0,82.8,77.03,16.55
2021-11-08,4860418.0,4523915.0,988509.0,82.83,77.1,16.85
2021-11-09,4862897.0,4527528.0,1011925.0,82.87,77.16,17.25
2021-11-10,4865119.0,4531168.0,1032295.0,82.91,77.22,17.59
2021-11-11,4867479.0,4534861.0,1052137.0,82.95,77.28,17.93
2021-11-12,4869819.0,4538989.0,1080597.0,82.99,77.35,18.42
2021-11-13,4871838.0,4542453.0,1105807.0,83.03,77.41,18.85
2021-11-14,4873450.0,4545933.0,1122563.0,83.05,77.47,19.13
2021-11-15,4875490.0,4549358.0,1141133.0,83.09,77.53,19.45
2021-11-16,4877433.0,4552926.0,1162191.0,83.12,77.59,19.81
2021-11-17,4879152.0,4556103.0,1178644.0,83.15,77.65,20.09
2021-11-18,4880812.0,4559617.0,1195782.0,83.18,77.71,20.38
2021-11-19,4882485.0,4562992.0,1221736.0,83.21,77.76,20.82
2021-11-20,4884191.0,4566132.0,1245555.0,83.24,77.82,21.23
2021-11-21,4885619.0,4569021.0,1262420.0,83.26,77.87,21.51
2021-11-22,4887382.0,4572113.0,1280382.0,83.29,77.92,21.82
2021-11-23,4889084.0,4575276.0,1296814.0,83.32,77.97,22.1
